,results
58,"Sentence[141]: ""Demonstrates ability to achieve accuracy and consistency in abstracting elements defined by per facility Goal  Average coding quality standard of   95  accuracy per monitoring period Does not meet   95  accuracyMeets    95  accuracyExceeds   95 01  accuracy Coding Labor Productivity  Meets and/or exceeds Conifer s coding productivity guidelines Professional Development  Stays current with AHA Official Coding and Reporting Guidelines  CMS and other agency directives for ICD 10 CM and CPT coding  Attends mandatory coding seminars on annual basis  IPPS and OPPS  ICD 10 CM and CPT updates  for inpatient and outpatient coding  Quarterly review of AHA Coding Clinic  Attends Quarterly Coding Updates and all coding conference calls Communicates and resolves coding issues  lacking documentation  physician queries  etc   for appropriate follow up and resolutionQualifications KNOWLEDGE  SKILLS  ABILITIESTo perform this job successfully  an individual must be able to perform each essential duty satisfactorily"" → [""coding""/In-SK, ""Coding""/In-SK, ""coding""/In-SK, ""Coding""/In-SK, ""Reporting""/In-SK, ""CMS""/In-SK, ""coding""/In-SK, ""coding""/In-SK, ""coding""/In-SK, ""Coding""/In-SK, ""Coding""/In-SK, ""coding""/In-SK, ""coding""/In-SK, ""documentation""/In-SK, ""SKILLS""/In-SK]"
59,"Sentence[20]: ""1 11 Document collaboration / discussion with supervising therapist re  change of status in patient s condition or physician orders"" → [""supervising""/In-SK]"
60,"Sentence[24]: ""In addition  the COTA has skills in evaluation patient responses and uses past experiences and evidence based practices in providing care and decision making"" → [""skills""/In-SK, ""evaluation""/In-SK, ""decision""/In-SK, ""making""/In-SK]"
61,"Sentence[12]: ""The COTA possesses basic to advanced technical and organizational patient care skills"" → [""skills""/In-SK]"
62,"Sentence[83]: ""3 5 Performs pre operative education activities Qualifications POSITION REQUIREMENTS  Education Required  Graduate of an  AOTA  accredited Occupational Therapy Assistant Education Program Preferred Licensure Required  Valid  current license  AZ State Board of OT Examiners Preferred  Certificates Required  Valid  current OTA certification  CPR BLS Preferred  Experience Required  Preferred  Prior patient exposure in area of practice Skills Required  Verbal and written communication skills Preferred  Neonatal and Pediatric competence Knowledge Required  Competent in the delivery of Occupational Therapy Treatments under the direction of an Occupational Therapist"" → [""education""/In-SK, ""Education""/In-SK, ""Education""/In-SK, ""Skills""/In-SK, ""communication""/In-SK, ""skills""/In-SK]"
63,"Sentence[45]: ""1 5 Provide treatments such as relates to  Upper Extremity Management  Sensation  Strength/Tone  Range of Motion  Coordination  Edema Control  Desensitization  Psychological Components  Activities of Daily Living  Cognition  Visual Perception  Vocational/Avocational  Patient/Family Education  Functional Mobility  and Body Systems  i e"" → [""Management""/In-SK, ""Desensitization""/In-SK, ""Education""/In-SK]"
64,"Sentence[24]: ""When using own vehicle must have valid Arizona drivers  license and proof of insurance that meets the minimum standards for the state of Arizona"" → [""insurance""/In-SK]"
65,"Sentence[41]: ""Mary s HospitalJob Type Full timeShift Type DaysJob Number 1705040454JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
66,"Sentence[42]: ""Job Description   CERT OCC THERAPY ASST FT DAYS SHIFT  1705040454  CERT OCC THERAPY ASST FT DAYS SHIFTDescription POSITION SUMMARY  Provides occupational therapy under the supervision of a licensed Occupational Therapist  including contributions toward assessment  plan of care and implementation  documentation and communication"" → [""documentation""/In-SK, ""communication""/In-SK]"
67,"Sentence[29]: ""1 10 Counsel patient and family regarding treatments  modalities  and home programs Activley participate in interdisciplinary team processes  including collaboration with physicians  vendors  other disciplines  inclusive of discharge planning"" → [""planning""/In-SK]"
68,"Sentence[24]: ""Preferred  Technology Required  Basic computer skills Preferred  Microsoft Office Programs Other Required  Must be able to work flexible hours  holidays and/or weekends"" → [""skills""/In-SK, ""Microsoft""/In-SK, ""Office""/In-SK, ""flexible""/In-SK]"
69,"Sentence[25]: ""Preferred  Bilingual English / Spanish Any equivalent combination of education  training and/or experience that fulfills the requirements of the position will be considered"" → [""English""/In-SK, ""education""/In-SK, ""training""/In-SK]"
70,"Sentence[12]: ""1 2 Contribute to evaluation process as directed by the primary therapist"" → [""evaluation""/In-SK]"
71,"Sentence[47]: ""1 9 Maintain skills required to use and care for equipment such as  Pulse Oximeter  Blood Pressure Cuff / Pulse  Exercise Equipment  Sliding boards  crutches  canes  walkers  Wheelchairs  including CADILLAC  Patient Beds  Versacare  Total Care  SizeWise   IP only   Tilt Table  Floor Lift   Lite Gait   and Standing Frame"" → [""skills""/In-SK, ""IP""/In-SK]"
72,"Sentence[78]: ""Others may be assigned Completes the pre certification process by obtaining authorization from insurer and/or healthcare facility Verify demographic information and update systems when necessary Verify patient insurance information and liability from the insurer May perform a portion or complete the full patient financial clearance process  including educating patients on liability and collection of patient liabilities due  Qualifications KNOWLEDGE  SKILLS  ABILITIESTo perform this job successfully  an individual must be able to perform each essential duty satisfactorily"" → [""healthcare""/In-SK, ""insurance""/In-SK, ""SKILLS""/In-SK]"
73,"Sentence[56]: ""Office Work Environment Hospital Work EnvironmentTRAVELApproximately 5  travel may be requiredJob Patient AccessPrimary Location MassachusettsHospital/Facility VanguardJob Type Full timeShift Type DaysJob Number 1705033818JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
74,"Sentence[79]: ""Job Description   Patient Service Center Rep for Full Time shifts at St Vincent Hospital in Worcester  1705033818  Patient Service Center Rep for Full Time shifts at St Vincent Hospital in WorcesterDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 600 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
75,"Sentence[205]: ""Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Minimum typing skills of 35 wpm Demonstrated working knowledge of PC/CRT/printer Knowledge of function and relationships within a hospital environment preferred Customer service skills and experience Ability to work in a fast paced environment Ability to receive and express detailed information through oral and written communications Course in Medical Terminology preferred Understanding of Third Party Payor requirements preferred Understanding of Compliance standards preferred Builds and maintains collaborative relationships with both internal and external Clients that lead to more effective communication and a higher level of productivity and accuracy EDUCATION / EXPERIENCEInclude minimum education  technical training  and/or experience preferred to perform the job 0 1 years of experience in customer service with basic typing ability and working knowledge of a Windows based computer environment 0 1 years of experience in a call center environment or similar customer service experience preferred High school diploma or GED requiredREQUIRED CERTIFICATIONS/LICENSUREInclude minimum certification required to perform the job N/APHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job"" → [""typing""/In-SK, ""skills""/In-SK, ""Customer""/In-SK, ""service""/In-SK, ""skills""/In-SK, ""communication""/In-SK, ""EDUCATION""/In-SK, ""education""/In-SK, ""training""/In-SK, ""0""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""typing""/In-SK, ""Windows""/In-SK, ""0""/In-SK, ""customer""/In-SK, ""service""/In-SK]"
76,"Sentence[31]: ""Additionally  the Patient Services Center Representative is responsible for verifying patient insurance  and confirming benefits eligibility  as well as assisting other team members where necessary ESSENTIAL DUTIES AND RESPONSIBILITIESInclude the following"" → [""insurance""/In-SK]"
77,"Sentence[123]: ""Through our revenue cycle management  patient communications  and value based care solutions  we empower healthcare decision makers hospitals  health systems  physicians  self insured employers  and payers to better connect every point of care and wellness management  Are you ready to be part of our solutions  Welcome to the company that gives you the resources and incentives to redefine healthcare services  with a competitive benefits package and leadership to take your career to the next step JOB SUMMARYThe Patient Services Center Representative is responsible for creating a positive patient experience by accurately and efficiently handling the day to day operations relating to financial clearance activities  Responsible for collecting required patient demographic and financial data elements and creating a complete registered account for scheduled visits"" → [""management""/In-SK, ""healthcare""/In-SK, ""management""/In-SK, ""healthcare""/In-SK, ""leadership""/In-SK]"
78,"Sentence[297]: ""In addition to first assisting  responsibilities may include circulating  scrubbing and other duties as assigned Department Specific Duties Maintains clinical competence by assisting on surgical proceduresParticipates in the call rotationParticipate in preoperative assessment and planning for selected surgical patientsRecognize safety hazards and initiate appropriate preventative and corrective actionsProvide exposure through appropriate use of instruments  retractors  suctioning  and spongingHandle and dissect tissues in collaboration with the surgeonClamp blood vessels  coagulate bleeding points  ligate vessels  and perform other procedures in collaboration with the surgeonSuture muscle  fascia  subcutaneous  and skin tissue in collaboration with the surgeonPlace drains as surgically indicated Qualifications Position Qualifications Graduate of an approved school of Nursing  and posses a current California RN licenseCertified as a perioperative nurse  CNOR  requiredCompletion of an approved/accredited RNFA course  including the completion of the required internship hoursProficient in perioperative nursing practice as both scrub and circulating nurse with diversified operating room experience Current American Heart Association BLS Certification  maintain current at all times Effective verbal and written communication skills to communicate with people on all levels and able to maintain positive working relationships with patients  families  and co workers inter  and intra departmentally Possess active listening skills Demonstrates knowledge of current nursing theory and practice Compassionate  non judgmental patient caregiver and advocate Must be able to tolerate physically and mentally demanding work Possesses audible  visual  and manual acuity necessary for maintaining patient safety Completion of mandatory programs to meet TJC standards is a job requirement  LI AH1MWWJob Surgical ServicesPrimary Location CA Palm SpringsHospital/Facility Desert Regional Medical CenterJob Type Full timeShift Type 10 Hour DayJob Number 1705009377JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""planning""/In-SK, ""communication""/In-SK, ""skills""/In-SK, ""active""/In-SK, ""listening""/In-SK, ""skills""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
